player_id,n,outs,xouts,oaa,oaa_per,position
5177,1,1,0.435349911150008,0.564650088849992,0.564650088849992,lf
4585,4,4,2.197649193721089,1.8023508062789109,0.4505877015697277,lf
7870,3,3,1.8614049840693199,1.1385950159306801,0.37953167197689336,lf
9871,2,2,1.2825663821398399,0.7174336178601601,0.35871680893008007,lf
1450,3,2,0.9455615209354746,1.0544384790645254,0.35147949302150844,lf
2281,1,1,0.6543757601809918,0.34562423981900825,0.34562423981900825,lf
8490,2,2,1.3263741907664035,0.6736258092335965,0.33681290461679825,lf
1980,2,1,0.4620847728584062,0.5379152271415938,0.2689576135707969,lf
5814,3,2,1.219307261145798,0.780692738854202,0.26023091295140066,lf
7051,8,5,2.9551268703907225,2.0448731296092775,0.2556091412011597,lf
5091,6,4,2.53805419978357,1.46194580021643,0.24365763336940502,lf
1751,5,2,0.8923511620283209,1.1076488379716791,0.22152976759433582,lf
9900,3,1,0.3491270231497055,0.6508729768502945,0.2169576589500982,lf
9969,3,1,0.3636603862213142,0.6363396137786859,0.2121132045928953,lf
1119,3,2,1.4071775364124692,0.5928224635875308,0.19760748786251026,lf
2227,2,1,0.6153474865128349,0.3846525134871651,0.19232625674358256,lf
2973,5,3,2.0468692478646875,0.9531307521353125,0.1906261504270625,lf
6783,4,3,2.2422237581676763,0.7577762418323237,0.18944406045808093,lf
3833,1,1,0.8118724002213075,0.18812759977869253,0.18812759977869253,lf
2808,22,11,7.463404039852836,3.5365959601471637,0.16075436182487107,lf
4974,3,1,0.5284879471375155,0.47151205286248454,0.15717068428749484,lf
1258,4,2,1.386697947209262,0.613302052790738,0.1533255131976845,lf
8638,10,5,3.5457967684594363,1.4542032315405637,0.14542032315405637,lf
1973,15,7,4.823169595830882,2.1768304041691184,0.1451220269446079,lf
3052,15,10,7.823752319417496,2.176247680582504,0.14508317870550028,lf
2982,1,1,0.864859265027674,0.13514073497232604,0.13514073497232604,lf
2183,6,3,2.191872583946464,0.8081274160535359,0.1346879026755893,lf
2279,2,1,0.7538631779315869,0.24613682206841314,0.12306841103420657,lf
7115,7,4,3.181511644549987,0.8184883554500129,0.11692690792143041,lf
6689,7,4,3.1850090772278103,0.8149909227721897,0.11642727468174138,lf
1185,15,8,6.307635257310091,1.692364742689909,0.11282431617932727,lf
3790,5,5,4.453191679466549,0.5468083205334509,0.10936166410669017,lf
1659,10,7,5.912096722501536,1.087903277498464,0.1087903277498464,lf
1124,21,10,7.716668483521965,2.283331516478035,0.10873007221323976,lf
1600,24,11,8.51661551511062,2.4833844848893794,0.10347435353705747,lf
2044,11,6,4.909105106668904,1.0908948933310958,0.09917226303009961,lf
6279,4,1,0.619532240602057,0.380467759397943,0.09511693984948574,lf
8458,11,4,2.971584166135718,1.028415833864282,0.09349234853311654,lf
3458,3,1,0.719584925225587,0.28041507477441296,0.09347169159147099,lf
3137,3,2,1.7453166575625205,0.2546833424374795,0.08489444747915982,lf
8032,7,3,2.4094365176305623,0.5905634823694377,0.08436621176706252,lf
1617,12,6,5.083279340393176,0.916720659606824,0.07639338830056867,lf
7908,4,1,0.7722456613925219,0.22775433860747807,0.05693858465186952,lf
5626,5,2,1.7245145935046233,0.2754854064953767,0.05509708129907533,lf
5654,12,4,3.372898438986235,0.6271015610137649,0.05225846341781374,lf
2029,9,4,3.533903709884411,0.4660962901155892,0.05178847667950991,lf
1628,3,2,1.8697139455654104,0.13028605443458963,0.04342868481152987,lf
2526,6,2,1.7427363419687905,0.25726365803120954,0.04287727633853492,lf
1399,5,2,1.8169921885304243,0.18300781146957568,0.03660156229391513,lf
6158,2,2,1.9340221836178482,0.06597781638215183,0.032988908191075916,lf
6596,8,4,3.824514386936903,0.17548561306309685,0.021935701632887106,lf
3956,8,3,2.833304603731239,0.16669539626876118,0.020836924533595147,lf
4886,8,4,3.9015706140018516,0.09842938599814843,0.012303673249768554,lf
5417,5,2,1.943563831055197,0.05643616894480297,0.011287233788960594,lf
8917,3,1,1.0058060784940845,-0.005806078494084543,-0.0019353594980281812,lf
4744,10,3,3.0222120166522055,-0.022212016652205513,-0.0022212016652205513,lf
2132,4,3,3.0206874282551843,-0.020687428255184326,-0.0051718570637960815,lf
5865,1,0,0.00894460291066815,-0.00894460291066815,-0.00894460291066815,lf
1930,27,10,10.272248350354609,-0.2722483503546087,-0.010083272235355878,lf
3283,4,1,1.1596525604999774,-0.15965256049997745,-0.03991314012499436,lf
5195,3,2,2.1353416421787665,-0.13534164217876654,-0.045113880726255516,lf
1684,20,6,6.96256463959809,-0.9625646395980896,-0.04812823197990448,lf
9583,4,3,3.194557851084628,-0.1945578510846282,-0.04863946277115705,lf
9410,9,2,2.445112081516646,-0.44511208151664583,-0.04945689794629398,lf
7359,5,1,1.2519509801984232,-0.2519509801984232,-0.05039019603968464,lf
1557,4,0,0.2126989240768593,-0.2126989240768593,-0.05317473101921483,lf
8901,2,1,1.1362368373191445,-0.1362368373191445,-0.06811841865957224,lf
4205,4,1,1.2774713301336902,-0.2774713301336902,-0.06936783253342255,lf
5656,2,0,0.13896257823937172,-0.13896257823937172,-0.06948128911968586,lf
1180,5,2,2.374019711761974,-0.3740197117619739,-0.07480394235239478,lf
3918,2,0,0.1524105994443003,-0.1524105994443003,-0.07620529972215015,lf
7023,3,1,1.232537178556286,-0.23253717855628597,-0.07751239285209532,lf
2053,24,6,7.957644625895284,-1.9576446258952842,-0.08156852607897018,lf
1802,9,2,2.8057946600562533,-0.8057946600562533,-0.08953274000625037,lf
9805,4,0,0.3840740776144879,-0.3840740776144879,-0.09601851940362198,lf
